IMT,f,Cr,Mh,c,Vc,f4,f5,b3 ,b4 ,c0_crust,c1_crust,c2_crust,c0_slab,c1_slab,c2_slab,sigma_crust,sigma_inter,sigma_slab,We_crust,We_inter,We_slab,Be_crust,Be_inter,Be_slab,phiSS
PGA,199,0,5.85,-0.84,1300,-0.15,-0.00701,-0.6187,0.06029,8.7046,0.9054,-0.04228,9.384,0.9516,-0.05878,0.583,0.64,0.741,0.396,0.518,0.508,0.285,0.198,0.436,0.319
0.01,100,0,5.85,-0.6037,1500.2,-0.1483,-0.00701,-0.6209,0.06057,8.6964,0.9086,-0.04286,9.3822,0.9606,-0.05846,0.584,0.64,0.741,0.396,0.518,0.506,0.287,0.199,0.438,0.319
0.02,50,0,5.9,-0.5739,1500.36,-0.1471,-0.00728,-0.6377,0.06251,8.6475,0.8981,-0.04283,9.3364,0.9434,-0.06041,0.586,0.64,0.744,0.396,0.516,0.502,0.291,0.204,0.446,0.319
0.03,33.33333,0,6.15,-0.5341,1502.95,-0.1549,-0.00735,-0.6028,0.05641,8.7712,0.8817,-0.0409,9.4675,0.9169,-0.05949,0.588,0.643,0.749,0.395,0.515,0.498,0.296,0.214,0.459,0.32
0.04,25,0,5.75,-0.4906,1503.35,-0.1678,-0.00698,-0.5484,0.0482,8.9401,0.8797,-0.03987,9.6381,0.9094,-0.05967,0.592,0.649,0.758,0.396,0.515,0.494,0.301,0.227,0.476,0.322
0.05,20,0,5.35,-0.458,1501.42,-0.1963,-0.00647,-0.5096,0.04279,9.0639,0.8761,-0.03404,9.7849,0.908,-0.05777,0.601,0.661,0.77,0.395,0.517,0.491,0.307,0.245,0.491,0.332
0.0769,13,0,5.2,-0.446418,1493.1716,-0.2306,-0.0057072,-0.421,0.03071,9.3185,0.8756,-0.02922,10.0282,0.9109,-0.04095,0.613,0.677,0.778,0.391,0.514,0.489,0.315,0.266,0.492,0.35
0.1,10,0,5.45,-0.4872,1479.12,-0.2492,-0.0056,-0.3774,0.02472,9.4284,0.8852,-0.03407,10.1413,0.9285,-0.04651,0.622,0.69,0.777,0.386,0.507,0.489,0.316,0.284,0.476,0.37
0.1205,8.3,0,5.35,-0.525285,1469.467,-0.25408,-0.0056725,-0.3551,0.02224,9.4945,0.903,-0.03709,10.2025,0.9653,-0.04776,0.625,0.697,0.777,0.385,0.502,0.493,0.308,0.293,0.462,0.384
0.1493,6.7,0,5.25,-0.578249,1443.4002,-0.2571,-0.0058451,-0.3265,0.01918,9.5294,0.9389,-0.04119,10.2275,1.021,-0.04973,0.625,0.701,0.783,0.388,0.501,0.497,0.294,0.295,0.461,0.392
0.1695,5.9,0,5.25,-0.6214,1425.3185,-0.25449,-0.005967,-0.3265,0.01918,9.5294,0.9389,-0.04119,10.2275,1.021,-0.04973,0.626,0.702,0.784,0.394,0.506,0.5,0.285,0.285,0.458,0.394
0.2,5,0,5.45,-0.6876,1392.61,-0.2466,-0.00614,-0.2868,0.01376,9.5239,0.9887,-0.05969,10.2,1.0864,-0.07394,0.629,0.7,0.781,0.404,0.518,0.51,0.283,0.261,0.443,0.391
0.25,4,0,5.6,-0.7718,1356.21,-0.2357,-0.00644,-0.2429,0.00921,9.4381,1.0655,-0.07459,10.0914,1.1754,-0.09074,0.636,0.7,0.786,0.417,0.535,0.534,0.289,0.234,0.43,0.384
0.3,3.33333,0,5.85,-0.8417,1308.47,-0.2191,-0.0067,-0.2117,0.00516,9.3703,1.1256,-0.09631,10.0099,1.246,-0.1204,0.648,0.702,0.8,0.428,0.551,0.561,0.306,0.214,0.427,0.378
0.4,2.5,0,6.15,-0.9109,1252.66,-0.1958,-0.00713,-0.1927,0.00485,9.1457,1.231,-0.12378,9.7546,1.3634,-0.15624,0.665,0.707,0.812,0.437,0.56,0.579,0.326,0.199,0.422,0.381
0.5,2,0,6.25,-0.9693,1203.91,-0.1704,-0.00744,-0.2079,0.00854,8.929,1.3033,-0.13955,9.5259,1.4406,-0.19382,0.687,0.718,0.815,0.443,0.561,0.586,0.342,0.2,0.401,0.399
0.5882,1.7,0,6.6,-0.998368,1187.20976,-0.1621328,-0.0076946,-0.2277,0.01371,8.6275,1.4052,-0.16412,9.1918,1.5455,-0.22427,0.707,0.737,0.812,0.445,0.562,0.585,0.351,0.22,0.372,0.422
0.7143,1.4,0,6.6,-1.0127582,1153.92318,-0.1429126,-0.00803432,-0.2277,0.01371,8.6508,1.4061,-0.16444,9.2149,1.547,-0.22482,0.717,0.756,0.807,0.444,0.566,0.582,0.357,0.244,0.348,0.436
0.7519,1.33,0,6.85,-1.0156128,1147.27156,-0.1384644,-0.0081238,-0.2523,0.01906,8.3739,1.4835,-0.18693,8.8789,1.6183,-0.24012,0.721,0.769,0.803,0.442,0.567,0.58,0.357,0.268,0.334,0.444
