IMT	f	Cr	Mh	c	Vc	f4	f5	b3 	b4 	c0_crust	c1_crust	c2_crust	c0_slab	c1_slab	c2_slab	sigma_crust	sigma_inter	sigma_slab	We_crust	We_inter	We_slab	Be_crust	Be_inter	Be_slab	phiSS	phiS2S
PGA	199.0	0.0	5.85	-0.84	1300.0	-0.15	-0.00701	-0.6187	0.06029	8.711058788727371	0.9053693	-0.042279	9.347939601935597	0.9515972	-0.058777	0.5834935645951531	0.6398281406724105	0.7411439496108738	0.3964668754524425	0.518148750681835	0.5077420701415758	0.28544705590120467	0.19775384045059052	0.4355245474089626	0.319	0.3190534866752214
0.01	100.0	0.0	5.85	-0.6037	1500.2	-0.1483	-0.00701	-0.6209	0.06057	8.721598409595675	0.9085596	-0.04270775	9.37615225189079	0.9606472	-0.05902450000000001	0.5840123791561163	0.639632585013473	0.7414582122472677	0.3961486296907175	0.51750069027538	0.5060036636624405	0.2869192417368614	0.19875489763610374	0.4380269928621313	0.319	0.3190658025663899
0.02	50.0	0.0	5.9	-0.5739	1500.36	-0.1471	-0.00728	-0.6377	0.06251	8.771302553100949	0.8980515	-0.0423565	9.423622529114976	0.943428	-0.059689000000000006	0.5856892493215489	0.6400010190925918	0.7436439223868574	0.395555691645748	0.5158340488880491	0.5020204221076529	0.29091380670241385	0.2037422734754516	0.44601805323363036	0.319	0.31924027155837453
0.03	33.33333	0.0	6.15	-0.5341	1502.95	-0.1549	-0.00735	-0.6028	0.05641	8.807388098913833	0.8816737	-0.041125749999999996	9.456646889769868	0.9169424	-0.059763250000000004	0.5882733631295918	0.642561335567066	0.7489200687385421	0.3953714694252932	0.5145133393464837	0.49756989202815477	0.29577253783623303	0.2139175998386107	0.4591798075543304	0.32	0.31976229780560506
0.04	25.0	0.0	5.75	-0.4906	1503.35	-0.1678	-0.00698	-0.5484	0.0482	8.85554981817703	0.8796976	-0.03866925	9.496406305955905	0.9094088	-0.059149999999999994	0.5923605939562275	0.6491232694074314	0.7578648142795423	0.3956757344619183	0.5153155984165996	0.49360425289246523	0.30061081232145903	0.22733397184234538	0.4759594076476925	0.322	0.322366932720096
0.05	20.0	0.0	5.35	-0.458	1501.42	-0.1963	-0.00647	-0.5096	0.04279	8.934132330228856	0.8760562	-0.034289499999999994	9.578499353910344	0.9079769	-0.054038749999999997	0.6006663341059728	0.6614832833860802	0.7699945186663235	0.39484913327320165	0.5165879668639973	0.49084703847982436	0.3073133905884355	0.24481693067704013	0.4912478633040762	0.332	0.33198209882032925
0.0769	13.0	0.0	5.2	-0.446418	1493.1716	-0.2306	-0.0057072	-0.421	0.03071	9.124969084338623	0.8755732	-0.031634999999999996	9.77891447542542	0.9108948	-0.04654375	0.6126836194585731	0.6771565946929539	0.7780674395167729	0.3910566022255497	0.5138010527763444	0.48909203150958924	0.31495612822580665	0.2662451649628002	0.49238794263288876	0.35	0.3504245134340283
0.1	10.0	0.0	5.45	-0.4872	1479.12	-0.2492	-0.0056	-0.3774	0.02472	9.259165601072468	0.8851896	-0.033613500000000004	9.964713667403334	0.9285323	-0.04543275	0.6222118244106085	0.689588028784679	0.7774097275731244	0.38646662877452165	0.5070254771829733	0.4890615246341095	0.3163970913540699	0.28395605718249795	0.47635362633247036	0.37	0.3704912395386448
0.1205	8.3	0.0	5.35	-0.525285	1469.467	-0.25408	-0.0056725	-0.3551	0.02224	9.35084789979707	0.9030417	-0.03736175	10.066426553901806	0.9653449	-0.047940500000000004	0.6254032839372761	0.6965233082531409	0.7774646355603946	0.3852830202327675	0.5015237320265287	0.4926301086881475	0.307566957832344	0.2927713982277641	0.4622433948205007	0.384	0.3843719913599108
0.1493	6.7	0.0	5.25	-0.578249	1443.4002	-0.2571	-0.0058451	-0.3265	0.01918	9.421832893478076	0.9389429	-0.04478975	10.114010282238832	1.0209852	-0.05529	0.625068072742243	0.7006626327035205	0.782681484454573	0.3879206849475145	0.5006518326540901	0.4968108923555912	0.29438425619822994	0.29469015574922425	0.4608284862910916	0.392	0.39156233352448216
