IMT	f	Cr	Mh	c	Vc	f4	f5	b3 	b4 	c0_crust	c1_crust	c2_crust	c0_slab	c1_slab	c2_slab	sigma_crust	sigma_inter	sigma_slab	We_crust	We_inter	We_slab	Be_crust	Be_inter	Be_slab	phiSS
PGA	199.0	0.0	5.85	-0.84	1300.0	-0.15	-0.00701	-0.4564820129811583	0.038249908468865404	0.1428528	1.8311172	-0.068096	0.0833642	2.0242844	-0.0795	0.583	0.64	0.741	0.396	0.518	0.508	0.285	0.198	0.436	0.319
0.01	100.0	0.0	5.85	-0.6037	1500.2	-0.1483	-0.00701	-0.43212399896248643	0.035279598433816645	0.1858079	1.835986	-0.068564	0.1461414	2.0253435	-0.079668	0.584	0.64	0.741	0.396	0.518	0.506	0.287	0.199	0.438	0.319
0.02	50.0	0.0	5.9	-0.5739	1500.36	-0.1471	-0.00728	-0.42090488671216664	0.03435528838604021	0.3788124	1.7937459	-0.065544	0.3926504	1.9685245	-0.075674	0.586	0.64	0.744	0.396	0.516	0.502	0.291	0.204	0.446	0.319
0.030003000300030006	33.33	0.0	6.15	-0.5341	1502.95	-0.1549	-0.00735	-0.4074900854082593	0.032677832355975725	0.6479953	1.7548111	-0.063509	0.7575199	1.9042317	-0.072015	0.588	0.643	0.749	0.395	0.515	0.498	0.296	0.214	0.459	0.32
0.04	25.0	0.0	5.75	-0.4906	1503.35	-0.1678	-0.00698	-0.39425979340432943	0.031100879755834993	0.8303084	1.7303709	-0.062245	1.0007686	1.8638357	-0.069799	0.592	0.649	0.758	0.396	0.515	0.494	0.301	0.227	0.476	0.322
0.05	20.0	0.0	5.35	-0.458	1501.42	-0.1963	-0.00647	-0.3872042220905837	0.030295798196675036	1.019008	1.7113114	-0.061549	1.2434498	1.8317754	-0.068393	0.601	0.661	0.77	0.395	0.517	0.491	0.307	0.245	0.491	0.332
0.07518796992481203	13.3	0.0	5.2	-0.446418	1493.1716	-0.2306	-0.0057072	-0.3693744528442891	0.02835276468797232	1.9363128	1.5294222	-0.050218	2.0974603	1.6746652	-0.05927	0.613	0.677	0.778	0.391	0.514	0.489	0.315	0.266	0.492	0.35
0.1	10.0	0.0	5.45	-0.4872	1479.12	-0.2492	-0.0056	-0.3524454309621292	0.026525008518227804	2.0612433	1.5223922	-0.049859	2.0449053	1.7178947	-0.062507	0.622	0.69	0.777	0.386	0.507	0.489	0.316	0.284	0.476	0.37
0.14992503748125938	6.67	0.0	5.25	-0.578249	1443.4002	-0.2571	-0.0058451	-0.338642054565708	0.025211426025200226	1.9156618	1.5915179	-0.053872	1.3905436	1.9204179	-0.075433	0.625	0.701	0.783	0.388	0.501	0.497	0.294	0.295	0.461	0.392
0.2	5.0	0.0	5.45	-0.6876	1392.61	-0.2466	-0.00614	-0.3261850027345212	0.024365044586080447	1.1976394	1.7746622	-0.06552	0.4094375	2.1658134	-0.091005	0.629	0.7	0.781	0.404	0.518	0.51	0.283	0.261	0.443	0.391
0.25	4.0	0.0	5.6	-0.7718	1356.21	-0.2357	-0.00644	-0.3077823706788615	0.02187721962778576	0.0657588	2.0753163	-0.085827	-0.987637	2.5268359	-0.114937	0.636	0.7	0.786	0.417	0.535	0.534	0.289	0.234	0.43	0.384
0.3003003003003003	3.33	0.0	5.85	-0.8417	1308.47	-0.2191	-0.0067	-0.30849563352152237	0.022341085691109878	-1.082073	2.3665827	-0.104992	-2.344921	2.8594724	-0.136229	0.648	0.702	0.8	0.428	0.551	0.561	0.306	0.214	0.427	0.378
0.4	2.5	0.0	6.15	-0.9109	1252.66	-0.1958	-0.00713	-0.2965977772093245	0.021226075872460965	-2.744799	2.7806937	-0.132406	-4.181405	3.298661	-0.164437	0.665	0.707	0.812	0.437	0.56	0.579	0.326	0.199	0.422	0.381
0.5	2.0	0.0	6.25	-0.9693	1203.91	-0.1704	-0.00744	-0.2812533400432924	0.020158025424331805	-4.434368	3.1743708	-0.157102	-5.955038	3.6888328	-0.187762	0.687	0.718	0.815	0.443	0.561	0.586	0.342	0.2	0.401	0.399
0.8	1.25	0.0	6.85	-1.021	1139.21	-0.1325	-0.00822	-0.26497737938386806	0.018826848002205583	-7.968264	3.9712418	-0.205802	-9.36277	4.385247	-0.226892	0.723	0.78	0.804	0.442	0.559	0.578	0.352	0.302	0.331	0.45
1.0	1.0	0.0	6.45	-1.05	1109.95	-0.1052	-0.00844	-0.26618108770605936	0.020132137475410396	-9.422486	4.2415535	-0.21957	-10.62059	4.5653105	-0.233082	0.709	0.791	0.796	0.439	0.545	0.556	0.335	0.361	0.355	0.444
1.4925373134328357	0.67	0.0	6.75	-1.045775	1073.0185	-0.068455	-0.00773625	-0.289540692077823	0.024598988388120593	-12.19098	4.7224578	-0.243257	-12.78069	4.8086577	-0.238103	0.676	0.794	0.774	0.419	0.546	0.515	0.324	0.394	0.396	0.42
2.0	0.5	0.0	6.65	-1.0392	1009.49	-0.0361	-0.00479	-0.30017309436401496	0.027286903578039666	-13.36398	4.8520475	-0.2455	-13.60044	4.807092	-0.230555	0.67	0.79	0.765	0.404	0.522	0.493	0.33	0.416	0.407	0.419
